config,k,encoding,use_rfm,n_customers,silhouette,davies_bouldin,calinski_harabasz,cluster_sizes,cluster_rfm,runtime_sec
K=50|enc=binary|rfm=False,50,binary,False,138,0.699686143631193,0.9260841201039801,83.30119366258475,"{0: 116, 1: 12, 2: 10}",,73.38081741333008
K=50|enc=binary|rfm=True,50,binary,True,3921,0.9595535875272304,0.1891106434857974,15647.939721904775,"{0: 3794, 1: 126, 2: 1}","{'Recency': {0: 93.21059567738534, 1: 62.03174603174603, 2: 1.0}, 'Frequency': {0: 4.046916183447549, 1: 10.26984126984127, 2: 1373.0}, 'Monetary': {0: 1809.029545071165, 1: 3531.217936507937, 2: 1716830.53}}",80.32148361206055
K=50|enc=weighted|rfm=False,50,weighted,False,138,0.5517088290692095,0.6397666286925586,260.7187065368921,"{0: 81, 1: 41, 2: 16}",,67.0551016330719
K=50|enc=weighted|rfm=True,50,weighted,True,3921,0.9433463769114588,0.48891236832506374,8585.792744333889,"{0: 3844, 1: 16, 2: 61}","{'Recency': {0: 92.16024973985432, 1: 207.5625, 2: 63.49180327868852}, 'Frequency': {0: 4.609261186264308, 1: 1.0625, 2: 4.688524590163935}, 'Monetary': {0: 2317.9633933402706, 1: 468.984375, 2: 1761.754918032787}}",75.26775217056274
K=200|enc=binary|rfm=False,200,binary,False,2028,0.4641633066186915,1.221704671683726,832.4970101654528,"{0: 88, 1: 1808, 2: 132}",,74.04251170158386
K=200|enc=binary|rfm=True,200,binary,True,3921,0.6582388551839482,1.065128638384641,1602.312929351276,"{0: 132, 1: 3700, 2: 89}","{'Recency': {0: 61.803030303030305, 1: 94.5608108108108, 2: 38.48314606741573}, 'Frequency': {0: 20.515151515151516, 1: 3.8816216216216217, 2: 10.685393258426966}, 'Monetary': {0: 16475.881060606058, 1: 1706.4722037837837, 2: 6027.625056179775}}",77.8937041759491
K=200|enc=weighted|rfm=False,200,weighted,False,2028,0.616822962583818,0.7320841140973432,607.3592506017499,"{0: 1952, 1: 16, 2: 60}",,75.24355340003967
K=200|enc=weighted|rfm=True,200,weighted,True,3921,0.7588230906747899,0.6624482630138521,1153.0110914864301,"{0: 3843, 1: 16, 2: 62}","{'Recency': {0: 92.16133229247983, 1: 207.5625, 2: 63.88709677419355}, 'Frequency': {0: 4.609419724173822, 1: 1.0625, 2: 4.67741935483871}, 'Monetary': {0: 2317.816878480354, 1: 468.984375, 2: 1779.8075806451614}}",78.86483716964722
